"Isotope"	"Halflife"	"Abundance"
"168Yb"	NA	0.13
"170Yb"	NA	3.05
"171Yb"	NA	14.3
"172Yb"	NA	21.9
"173Yb"	NA	16.12
"174Yb"	NA	31.8
"176Yb"	NA	12.7
"175Lu"	NA	97.41
"176Hf"	NA	5.206
"177Hf"	NA	18.606
"178Hf"	NA	27.297
"179Hf"	NA	13.629
"180Hf"	NA	35.1
"181Ta"	NA	99.988
"180W"	NA	0.13
"182W"	NA	26.3
"186W"	NA	28.6
"185Re"	NA	37.4
"187Os"	NA	1.6
"188Os"	NA	13.3
"189Os"	NA	16.1
"190Os"	NA	26.4
"192Os"	NA	41
"191Ir"	NA	37.3
"193Ir"	NA	62.7
"192Pt"	NA	0.79
"194Pt"	NA	32.9
"195Pt"	NA	33.8
"196Pt"	NA	25.3
"198Pt"	NA	7.2
"197Au"	NA	100
"196Hg"	NA	0.15
"198Hg"	NA	9.97
"199Hg"	NA	16.87
"200Hg"	NA	23.1
"201Hg"	NA	13.18
"202Hg"	NA	29.86
"204Hg"	NA	6.87
"203Tl"	NA	29.524
"205Tl"	NA	70.476
"206Pb"	NA	24.1
"207Pb"	NA	22.1
"208Pb"	NA	52.4
"209Bi"	NA	100
