year,month,anomaly
2009,11,0.3208
2009,12,0.1959
2010,1,0.5870
2010,2,0.5132
2010,3,0.5871
2010,4,0.4953
2010,5,0.5252
2010,6,0.4891
2010,7,0.5583
2010,8,0.5457
2010,9,0.5007
2010,10,0.2938
2010,11,0.3079
2010,12,0.2116
2011,1,0.0743
2011,2,0.0399
2011,3,-0.0396
2011,4,0.0959
2011,5,0.1178
2011,6,0.2914
2011,7,0.3214
2011,8,0.2784
2011,9,0.2790
2011,10,0.0809
2011,11,0.0244
2011,12,0.1060
2012,1,-0.0703
2012,2,-0.1336
2012,3,0.0617
2012,4,0.3230
2012,5,0.2265
2012,6,0.3334
2012,7,0.2544
2012,8,0.2483
2012,9,0.3774
2012,10,0.2911
2012,11,0.1920
2012,12,0.0951
2013,1,0.4340
2013,2,0.1853
2013,3,0.1958
2013,4,0.2121
2013,5,0.1366
2013,6,0.2905
2013,7,0.2192
2013,8,0.1615
2013,9,0.2531
2013,10,0.2062
2013,11,0.1301
2013,12,0.1547
2014,1,0.2574
2014,2,0.1563
2014,3,0.2092
2014,4,0.2472
2014,5,0.2849
2014,6,0.3451
2014,7,0.3491
2014,8,0.1895
2014,9,0.2059
2014,10,0.2717
2014,11,0.2441
2014,12,0.2844
2015,1,0.3662
2015,2,0.3250
2015,3,0.2526
2015,4,0.1742
2015,5,0.3101
2015,6,0.3919
2015,7,0.2879
2015,8,0.3896
2015,9,0.3755
2015,10,0.4466
2015,11,0.4262
